"LUI","combo"
0.75,"Poa_pra.Pla_lan.Gal_mol.Hol_lan.Car_hir"
0.75,"Poa_pra.Her_sph.Gal_mol.Hol_lan.Car_hir"
0.75,"Alo_pra.Fes_pra.Gal_mol.Hol_lan.Car_hir"
0.75,"Dac_glo.Fes_pra.Gal_mol.Hol_lan.Car_hir"
0.75,"Arr_ela.Fes_pra.Gal_mol.Hol_lan.Car_hir"
0.75,"Fes_rub.Fes_pra.Gal_mol.Hol_lan.Car_hir"
0.75,"Fes_pra.Ran_rep.Gal_mol.Hol_lan.Car_hir"
0.75,"Fes_pra.Her_sph.Gal_mol.Hol_lan.Car_hir"
1,"Poa_tri.Tar_off.Lol_per.Gal_mol.Hol_lan"
1,"Poa_tri.Tar_off.Lol_per.Hol_lan.Car_hir"
1,"Poa_tri.Tar_off.Gal_mol.Hol_lan.Car_hir"
1,"Poa_pra.Tar_off.Lol_per.Gal_mol.Hol_lan"
1,"Poa_pra.Tar_off.Lol_per.Gal_mol.Car_hir"
1,"Poa_pra.Tar_off.Lol_per.Hol_lan.Car_hir"
1,"Poa_pra.Tar_off.Gal_mol.Hol_lan.Car_hir"
1,"Poa_pra.Lol_per.Gal_mol.Hol_lan.Car_hir"
1,"Alo_pra.Tar_off.Lol_per.Gal_mol.Hol_lan"
1,"Alo_pra.Tar_off.Lol_per.Hol_lan.Car_hir"
1,"Alo_pra.Tar_off.Gal_mol.Hol_lan.Car_hir"
1,"Dac_glo.Tar_off.Lol_per.Gal_mol.Hol_lan"
1,"Dac_glo.Tar_off.Lol_per.Gal_mol.Car_hir"
1,"Dac_glo.Tar_off.Lol_per.Hol_lan.Car_hir"
1,"Dac_glo.Tar_off.Gal_mol.Hol_lan.Car_hir"
1,"Dac_glo.Lol_per.Gal_mol.Hol_lan.Car_hir"
1,"Tri_rep.Tar_off.Lol_per.Gal_mol.Hol_lan"
1,"Tri_rep.Tar_off.Lol_per.Gal_mol.Car_hir"
1,"Tri_rep.Tar_off.Lol_per.Hol_lan.Car_hir"
1,"Tri_rep.Tar_off.Gal_mol.Hol_lan.Car_hir"
1,"Tri_rep.Lol_per.Gal_mol.Hol_lan.Car_hir"
1,"Tar_off.Lol_per.Arr_ela.Gal_mol.Hol_lan"
1,"Tar_off.Lol_per.Arr_ela.Hol_lan.Car_hir"
1,"Tar_off.Lol_per.Fes_rub.Gal_mol.Hol_lan"
1,"Tar_off.Lol_per.Fes_rub.Gal_mol.Car_hir"
1,"Tar_off.Lol_per.Fes_rub.Hol_lan.Car_hir"
1,"Tar_off.Lol_per.Fes_pra.Gal_mol.Hol_lan"
1,"Tar_off.Lol_per.Fes_pra.Hol_lan.Car_hir"
1,"Tar_off.Lol_per.Tri_pra.Gal_mol.Hol_lan"
1,"Tar_off.Lol_per.Tri_pra.Hol_lan.Car_hir"
1,"Tar_off.Lol_per.Ran_rep.Gal_mol.Hol_lan"
1,"Tar_off.Lol_per.Ran_rep.Hol_lan.Car_hir"
1,"Tar_off.Lol_per.Bro_ere.Gal_mol.Hol_lan"
1,"Tar_off.Lol_per.Ran_acr.Gal_mol.Hol_lan"
1,"Tar_off.Lol_per.Ran_acr.Hol_lan.Car_hir"
1,"Tar_off.Lol_per.Bro_hor.Gal_mol.Hol_lan"
